Route_No,Bus_Model,Fuel_Type,Avg_Speed_kmph,Fuel_Consumed_Liters,Distance_Covered_km,Year,Destination,No_of_Buses_in_Route
356C,Tata Marcopolo,CNG,48.8,34.75,142.4,2025,Majestic,40
V500C,Volvo 8400 B7RLE,Diesel,28.9,70.12,191.7,2025,ITPL,58
77E,Volvo 8400 B7RLE,Diesel,46.7,21.4,72.8,2025,KR Puram,54
279F,Volvo 9400XL,Diesel,25.5,54.57,215.8,2025,Peenya,30
60A,Volvo 9400XL,Diesel,30.3,87.68,243.1,2025,Indiranagar,44
348C,Volvo 8400 B7RLE,Diesel,32.6,30.51,100.3,2025,Marathahalli,62
252H,Tata Marcopolo,CNG,32.3,39.56,155,2025,Bommanahalli,43
77E,Eicher Skyline Pro,CNG,32.3,25.55,90.7,2025,KR Puram,72
401A,Switch EiV 12,Electric,44.6,0,160.3,2025,RT Nagar,21
60A,Ashok Leyland Viking,Diesel,37.9,30.66,103.9,2025,Indiranagar,65
213K,Eicher Skyline Pro,CNG,40.2,21.56,70.2,2025,Banerghatta,28
213K,Tata Marcopolo,CNG,48.7,16.7,74.3,2025,Banerghatta,10
K1,Eicher Skyline Pro,CNG,32.6,75.58,237.8,2025,Koramangala,54
600A,Eicher Skyline Pro,CNG,36,66.13,210.5,2025,Banashankari,34
215K,Volvo 9400XL,Diesel,25.9,43.71,168.9,2025,Kengeri,21
348C,Volvo 8400 B7RLE,Diesel,41.6,39.39,116.9,2025,Marathahalli,59
60A,Eicher Skyline Pro,CNG,38.7,53.21,174.4,2025,Indiranagar,68
213K,Eicher Skyline Pro,CNG,44.4,61.98,273.3,2025,Banerghatta,20
K1,Volvo 9400XL,Diesel,39.9,66.16,256.9,2025,Koramangala,19
12G,Volvo 8400 B7RLE,Diesel,29.9,30.96,79.5,2025,BTM Layout,37
K1,Ashok Leyland Viking,Diesel,34.7,45.27,131.6,2025,Koramangala,67
K1,Switch EiV 12,Electric,33.9,0,242.3,2025,Koramangala,72
201R,Volvo 9400XL,Diesel,38.6,44.92,121.8,2025,Yelahanka,20
600A,Tata Marcopolo,CNG,26.9,52.79,236.5,2025,Banashankari,41
60A,Switch EiV 12,Electric,30,0,229.9,2025,Indiranagar,72
60A,Volvo 9400XL,Diesel,45.4,17.19,61.2,2025,Indiranagar,24
201R,Ashok Leyland Viking,Diesel,44.3,84.41,220.4,2025,Yelahanka,78
210N,Eicher Skyline Pro,CNG,27.9,32.34,138.9,2025,Jayanagar,66
V500C,Eicher Skyline Pro,CNG,33.3,63.68,197.1,2025,ITPL,22
365B,Switch EiV 12,Electric,33.1,0,128.4,2025,Silk Board,34
96E,Eicher Skyline Pro,CNG,40.9,50.91,220.5,2025,Electronic City,53
600A,Switch EiV 12,Electric,28,0,163.9,2025,Banashankari,49
210N,Tata Marcopolo,CNG,44,56.46,216.9,2025,Jayanagar,26
77E,Tata Marcopolo,CNG,37.3,60.67,229.6,2025,KR Puram,37
348C,Tata Marcopolo,CNG,25.6,48.74,154.1,2025,Marathahalli,24
96E,Volvo 9400XL,Diesel,40.9,22.51,66.9,2025,Electronic City,41
252H,Eicher Skyline Pro,CNG,47.7,50.95,171.9,2025,Bommanahalli,40
213K,Eicher Skyline Pro,CNG,43.9,44.96,150.3,2025,Banerghatta,45
210N,Volvo 8400 B7RLE,Diesel,32.2,28.05,76.9,2025,Jayanagar,68
356C,Volvo 9400XL,Diesel,45.2,76.66,264.5,2025,Majestic,50
365B,Volvo 8400 B7RLE,Diesel,45.1,90.54,251.7,2025,Silk Board,33
279F,Ashok Leyland Viking,Diesel,38.5,69.09,256.4,2025,Peenya,45
V500C,Eicher Skyline Pro,CNG,33,81.23,257.1,2025,ITPL,73
279F,Eicher Skyline Pro,CNG,35.7,26.05,110.1,2025,Peenya,24
96E,Tata Marcopolo,CNG,25.2,66.22,249.4,2025,Electronic City,73
12G,Ashok Leyland Viking,Diesel,30.6,56.65,151.8,2025,BTM Layout,66
500D,Eicher Skyline Pro,CNG,48.6,38.54,134.3,2025,Whitefield,50
500D,Ashok Leyland Viking,Diesel,42.6,57.17,174.1,2025,Whitefield,38
